uid,Id,simulated_fill_level,previous_day_level,growth_rate,predicted_fill_level,Capacity,threshold,Address
1,O5AHDP,92.0,84.41559401722608,7.584405982773916,99.44192140460541,1.100L,70,"Calea Șurii Mari 39 B, Sibiu, Romania"
3,HPDZUE,71.0,66.48904633548997,4.510953664510026,75.93803759936478,1.100L,70,"Strada Căprioarelor 1, Sibiu, Romania"
6,HLQKX5,82.0,71.97191140089014,10.028088599109864,90.8906391020038,1.100L,70,"Strada Țiglarilor 12, Sibiu, Romania"
7,MO25A3,86.0,77.98913449022726,8.010865509772742,93.6083462085333,1.100L,70,"Strada Țiglarilor 12, Sibiu, Romania"
8,OVR7LU,74.0,67.33224241473017,6.667757585269825,80.45681931648224,1.100L,70,"Strada Țiglarilor 12, Sibiu, Romania"
9,M4FF,74.0,66.7043500157415,7.295649984258503,80.88123519600177,240L,80,"Strada Țiglarilor 20, Sibiu, Romania"
10,MNQ5,87.0,80.4627810922457,6.537218907754294,93.63255938256876,120L,85,"Strada Țiglarilor 24, Sibiu, Romania"
11,R2LY,99.0,93.3253564081422,5.6746435918578015,100.0,120L,85,"Strada Țiglarilor 28, Sibiu, Romania"
17,FZRC,87.0,80.51913675020627,6.480863249793728,93.5944664924848,120L,85,"Strada Eschile 17, Sibiu, Romania"
28,LTVP5I,88.0,82.15755864557605,5.842441354423954,94.18323918187619,120L,85,"Strada Eschile 49, Sibiu, Romania"
30,XJTO,90.0,86.32858608793293,3.6714139120670666,94.75637249648304,120L,85,"Strada Traian Demetrescu 142, Sibiu, Romania"
33,2F2D,91.0,86.0607487961358,4.9392512038642025,96.63365683343812,120L,85,"Strada Florilor 30, Sibiu, Romania"
45,RSVP,100.0,95.17745502170277,4.8225449782972305,100.0,120L,85,"Strada Crizantemelor 7, Sibiu, Romania"
53,6OIV,88.0,82.6487794681956,5.351220531804401,93.85120471576994,120L,85,"Strada Crizantemelor 18, Sibiu, Romania"
57,AJ2FQV,89.0,82.26127124627978,6.738728753720224,95.80937909557483,120L,85,"Strada Lăcrămioarelor 10, Sibiu, Romania"
60,A4NQ,83.0,76.32975384810099,6.670246151899008,89.6412540638099,120L,85,"Strada Lăcrămioarelor 16, Sibiu, Romania"
61,AC4W,91.0,84.82454913147046,6.175450868529538,97.46925027076233,120L,85,"Strada Lăcrămioarelor 1, Sibiu, Romania"
