route_id,Car,Datetime,Id,Capacity,Address,fill_level,Latitude,Longitude,point_type,uid,threshold
1,SB-25-SOM,2024-10-15 06:19:38+00:00,O5AHDP,1.100L,"Calea Șurii Mari 39 B, Sibiu, Romania",92.0,45.8230393,24.1477036,container,1,70
1,SB-25-SOM,2024-10-15 06:38:19+00:00,HPDZUE,1.100L,"Strada Căprioarelor 1, Sibiu, Romania",71.0,45.81428589999999,24.1497705,container,3,70
1,SB-25-SOM,2024-10-15 06:51:53+00:00,HLQKX5,1.100L,"Strada Țiglarilor 12, Sibiu, Romania",82.0,45.8073798,24.1438199,container,6,70
1,SB-25-SOM,2024-10-15 06:52:15+00:00,MO25A3,1.100L,"Strada Țiglarilor 12, Sibiu, Romania",86.0,45.8073798,24.1438199,container,7,70
1,SB-25-SOM,2024-10-15 06:52:47+00:00,OVR7LU,1.100L,"Strada Țiglarilor 12, Sibiu, Romania",74.0,45.8073798,24.1438199,container,8,70
1,SB-25-SOM,2024-10-15 06:55:18+00:00,MNQ5,120L,"Strada Țiglarilor 24, Sibiu, Romania",87.0,45.807732,24.1430912,container,10,85
1,SB-25-SOM,2024-10-15 06:55:51+00:00,R2LY,120L,"Strada Țiglarilor 28, Sibiu, Romania",99.0,45.80784020000001,24.142898,container,11,85
1,SB-25-SOM,2024-10-15 07:02:36+00:00,FZRC,120L,"Strada Eschile 17, Sibiu, Romania",87.0,45.8088978,24.1433533,container,17,85
1,SB-25-SOM,2024-10-15 07:07:55+00:00,LTVP5I,120L,"Strada Eschile 49, Sibiu, Romania",88.0,45.8106896,24.1440049,container,28,85
1,SB-25-SOM,2024-10-15 07:09:00+00:00,XJTO,120L,"Strada Traian Demetrescu 142, Sibiu, Romania",90.0,45.8093467,24.1400841,container,30,85
1,SB-25-SOM,2024-10-15 07:10:40+00:00,2F2D,120L,"Strada Florilor 30, Sibiu, Romania",91.0,45.8108785,24.1429247,container,33,85
1,SB-25-SOM,2024-10-15 07:19:04+00:00,RSVP,120L,"Strada Crizantemelor 7, Sibiu, Romania",100.0,45.8096633,24.1418536,container,45,85
1,SB-25-SOM,2024-10-15 07:21:16+00:00,6OIV,120L,"Strada Crizantemelor 18, Sibiu, Romania",88.0,45.8098787,24.1428528,container,53,85
1,SB-25-SOM,2024-10-15 07:22:26+00:00,AJ2FQV,120L,"Strada Lăcrămioarelor 10, Sibiu, Romania",89.0,45.8102423,24.1431619,container,57,85
1,SB-25-SOM,2024-10-15 07:23:50+00:00,AC4W,120L,"Strada Lăcrămioarelor 1, Sibiu, Romania",91.0,45.8104063,24.1425765,container,61,85
1,SB-25-SOM,2024-10-15 07:35:47+00:00,CAHMA5,120L,"Strada Țiglarilor 64, Sibiu, Romania",92.0,45.8100436,24.1401571,container,78,85
1,SB-25-SOM,2024-10-15 07:37:09+00:00,D5Y7,120L,"Strada Țiglarilor 75, Sibiu, Romania",89.0,45.8100769,24.1391443,container,81,85
1,SB-25-SOM,2024-10-15 07:38:39+00:00,2L6I,120L,"Strada Țiglarilor 77, Sibiu, Romania",99.0,45.8103421,24.1388166,container,86,85
