route_id,Car,Datetime,Id,Capacity,Address,fill_level,Latitude,Longitude
1,SB-25-SOM,,,,"Strada Șelimbărului 90, Cisnădie, Romania",,45.7315361,24.1779393
1,SB-25-SOM,2024-10-15 06:14:38+00:00,O5AHDP,1.100L,"Calea Șurii Mari 39 B, Sibiu, Romania",51.0,45.8230393,24.1477036
1,SB-25-SOM,2024-10-15 06:19:38+00:00,O5AHDP,1.100L,"Calea Șurii Mari 39 B, Sibiu, Romania",92.0,45.8230393,24.1477036
1,SB-25-SOM,2024-10-15 06:32:00+00:00,NH7XHL,1.100L,"Calea Șurii Mari 39, Sibiu, Romania",14.0,45.8230307,24.1476182
1,SB-25-SOM,2024-10-15 06:38:19+00:00,HPDZUE,1.100L,"Strada Căprioarelor 1, Sibiu, Romania",71.0,45.81428589999999,24.1497705
1,SB-25-SOM,2024-10-15 06:46:41+00:00,BNY3U5,120L,"Strada Lungă 71, Sibiu, Romania",60.0,45.8101442,24.1471054
1,SB-25-SOM,2024-10-15 06:50:03+00:00,J4LA,120L,"Strada Țiglarilor 10, Sibiu, Romania",20.0,45.8071758,24.1441346
1,SB-25-SOM,2024-10-15 06:51:53+00:00,HLQKX5,1.100L,"Strada Țiglarilor 12, Sibiu, Romania",82.0,45.8073798,24.1438199
1,SB-25-SOM,2024-10-15 06:52:15+00:00,MO25A3,1.100L,"Strada Țiglarilor 12, Sibiu, Romania",86.0,45.8073798,24.1438199
1,SB-25-SOM,2024-10-15 06:52:47+00:00,OVR7LU,1.100L,"Strada Țiglarilor 12, Sibiu, Romania",74.0,45.8073798,24.1438199
1,SB-25-SOM,2024-10-15 06:54:43+00:00,M4FF,240L,"Strada Țiglarilor 20, Sibiu, Romania",74.0,45.8075681,24.143282
1,SB-25-SOM,2024-10-15 06:55:18+00:00,MNQ5,120L,"Strada Țiglarilor 24, Sibiu, Romania",87.0,45.807732,24.1430912
1,SB-25-SOM,2024-10-15 06:55:51+00:00,R2LY,120L,"Strada Țiglarilor 28, Sibiu, Romania",99.0,45.80784020000001,24.142898
1,SB-25-SOM,2024-10-15 06:56:30+00:00,AGGC,120L,"Strada Eschile 3, Sibiu, Romania",23.0,45.8082026,24.1428147
1,SB-25-SOM,2024-10-15 06:58:07+00:00,3WT5,1.100L,"Strada Eschile 6, Sibiu, Romania",2.0,45.808161,24.1430984
1,SB-25-SOM,2024-10-15 06:58:39+00:00,EXDE,1.100L,"Strada Eschile 6, Sibiu, Romania",21.0,45.808161,24.1430984
1,SB-25-SOM,2024-10-15 07:01:56+00:00,RSUZ,120L,"Strada Eschile 12, Sibiu, Romania",52.0,45.8085434,24.1435158
1,SB-25-SOM,2024-10-15 07:02:21+00:00,ICLYI5,120L,"Strada Eschile 15, Sibiu, Romania",1.0,45.8088189,24.1434038
1,SB-25-SOM,2024-10-15 07:02:36+00:00,FZRC,120L,"Strada Eschile 17, Sibiu, Romania",87.0,45.8088978,24.1433533
1,SB-25-SOM,2024-10-15 07:03:39+00:00,QO42KH,120L,"Strada Eschile 22, Sibiu, Romania",29.0,45.809119,24.143808
1,SB-25-SOM,2024-10-15 07:04:30+00:00,L5FA,120L,"Strada Eschile 25, Sibiu, Romania",37.0,45.8094143,24.1438062
1,SB-25-SOM,2024-10-15 07:04:35+00:00,YMH42D,120L,"Strada Pandurilor 15, Sibiu, Romania",1.0,45.8095158,24.1428497
1,SB-25-SOM,2024-10-15 07:05:04+00:00,DVRI,120L,"Strada Eschile 31, Sibiu, Romania",63.0,45.80978880000001,24.1438341
1,SB-25-SOM,2024-10-15 07:05:19+00:00,Y3UO,120L,"Strada Eschile 33, Sibiu, Romania",59.0,45.8098646,24.1438427
1,SB-25-SOM,2024-10-15 07:05:34+00:00,OBFG,120L,"Strada Eschile 37, Sibiu, Romania",20.0,45.8100444,24.1439597
1,SB-25-SOM,2024-10-15 07:05:49+00:00,XYIKBN,120L,"Strada Eschile 39, Sibiu, Romania",32.0,45.8101458,24.1439105
1,SB-25-SOM,2024-10-15 07:06:04+00:00,PKH6XW,120L,"Strada Eschile 41, Sibiu, Romania",75.0,45.81024310000001,24.1439796
1,SB-25-SOM,2024-10-15 07:06:30+00:00,RW46BK,120L,"Strada Eschile 43, Sibiu, Romania",57.0,45.8103231,24.1440708
1,SB-25-SOM,2024-10-15 07:07:15+00:00,FX3V,120L,"Strada Eschile 36, Sibiu, Romania",21.0,45.8104539,24.1443445
1,SB-25-SOM,2024-10-15 07:07:55+00:00,LTVP5I,120L,"Strada Eschile 49, Sibiu, Romania",88.0,45.8106896,24.1440049
1,SB-25-SOM,2024-10-15 07:08:11+00:00,H2JM,120L,"Strada Eschile 40, Sibiu, Romania",48.0,45.81052589999999,24.1444876
1,SB-25-SOM,2024-10-15 07:09:00+00:00,XJTO,120L,"Strada Traian Demetrescu 142, Sibiu, Romania",90.0,45.8093467,24.1400841
1,SB-25-SOM,2024-10-15 07:09:32+00:00,BLI4,120L,"Strada Florilor 38, Sibiu, Romania",58.0,45.8112388,24.1436132
1,SB-25-SOM,2024-10-15 07:09:58+00:00,GVTV,120L,"Strada Florilor 36 A, Sibiu, Romania",41.0,45.8111627,24.1434693
1,SB-25-SOM,2024-10-15 07:10:40+00:00,2F2D,120L,"Strada Florilor 30, Sibiu, Romania",91.0,45.8108785,24.1429247
1,SB-25-SOM,2024-10-15 07:11:36+00:00,IRA5,120L,"Strada Florilor 22, Sibiu, Romania",59.0,45.8105214,24.1422791
1,SB-25-SOM,2024-10-15 07:11:37+00:00,WKDH,120L,"Strada Florilor 23, Sibiu, Romania",79.0,45.810697,24.1420128
1,SB-25-SOM,2024-10-15 07:13:23+00:00,ZYZM,120L,"Strada Florilor 15, Sibiu, Romania",14.0,45.81050399999999,24.1416151
1,SB-25-SOM,2024-10-15 07:13:33+00:00,ZMUL,120L,"Strada Florilor 18, Sibiu, Romania",61.0,45.8104126,24.1419479
1,SB-25-SOM,2024-10-15 07:14:21+00:00,5FWEQY,120L,"Strada Florilor 13, Sibiu, Romania",61.0,45.8104243,24.1414764
1,SB-25-SOM,2024-10-15 07:14:33+00:00,4UZG,120L,"Strada Florilor 11, Sibiu, Romania",46.0,45.8105091,24.1412632
1,SB-25-SOM,2024-10-15 07:15:11+00:00,B6P3GH,120L,"Strada Florilor 12, Sibiu, Romania",61.0,45.8101045,24.1412992
