Car,Datetime,Id,Capacity,City,Country,Address,route_id,latitudine,longitudine
SB-25-SOM,2024-10-15 06:14:38+00:00,O5AHDP,1.100L,Sibiu,Romania,Calea Șurii Mari 39 B,1,45.8178085,24.1499486
SB-25-SOM,2024-10-15 06:19:38+00:00,O5AHDP,1.100L,Sibiu,Romania,Calea Șurii Mari 39 B,1,45.8178085,24.1499486
SB-25-SOM,2024-10-15 06:32:00+00:00,NH7XHL,1.100L,Sibiu,Romania,Calea Șurii Mari 39,1,45.8192302,24.1503389
SB-25-SOM,2024-10-15 06:38:19+00:00,HPDZUE,1.100L,Sibiu,Romania,Strada Căprioarelor 1,1,45.8121642,24.152863
SB-25-SOM,2024-10-15 06:46:41+00:00,BNY3U5,120L,Sibiu,Romania,Strada Lungă 71,1,45.8100736,24.1471531
SB-25-SOM,2024-10-15 06:50:03+00:00,J4LA,120L,Sibiu,Romania,Strada Țiglarilor 10,1,45.8073619,24.1440611
SB-25-SOM,2024-10-15 06:51:53+00:00,HLQKX5,1.100L,Sibiu,Romania,Strada Țiglarilor 12,1,45.8073876,24.1438281
SB-25-SOM,2024-10-15 06:52:15+00:00,MO25A3,1.100L,Sibiu,Romania,Strada Țiglarilor 12,1,45.8073876,24.1438281
SB-25-SOM,2024-10-15 06:52:47+00:00,OVR7LU,1.100L,Sibiu,Romania,Strada Țiglarilor 12,1,45.8073876,24.1438281
SB-25-SOM,2024-10-15 06:54:43+00:00,M4FF,240L,Sibiu,Romania,Strada Țiglarilor 20,1,45.807686,24.1433945
SB-25-SOM,2024-10-15 06:55:18+00:00,MNQ5,120L,Sibiu,Romania,Strada Țiglarilor 24,1,45.8078161,24.1431366
SB-25-SOM,2024-10-15 06:55:51+00:00,R2LY,120L,Sibiu,Romania,Strada Țiglarilor 28,1,45.8078785,24.1428182
SB-25-SOM,2024-10-15 06:56:30+00:00,AGGC,120L,Sibiu,Romania,Strada Eschile 3,1,45.8081839,24.142829
SB-25-SOM,2024-10-15 06:58:07+00:00,3WT5,1.100L,Sibiu,Romania,Strada Eschile 6,1,45.8088516,24.1435086
SB-25-SOM,2024-10-15 06:58:39+00:00,EXDE,1.100L,Sibiu,Romania,Strada Eschile 6,1,45.8088516,24.1435086
SB-25-SOM,2024-10-15 07:01:56+00:00,RSUZ,120L,Sibiu,Romania,Strada Eschile 12,1,45.8085451,24.1433501
SB-25-SOM,2024-10-15 07:02:21+00:00,ICLYI5,120L,Sibiu,Romania,Strada Eschile 15,1,45.8087329,24.1432963
SB-25-SOM,2024-10-15 07:02:36+00:00,FZRC,120L,Sibiu,Romania,Strada Eschile 17,1,45.8088368,24.1434172
SB-25-SOM,2024-10-15 07:03:39+00:00,QO42KH,120L,Sibiu,Romania,Strada Eschile 22,1,45.8091914,24.1439107
SB-25-SOM,2024-10-15 07:04:30+00:00,L5FA,120L,Sibiu,Romania,Strada Eschile 25,1,45.8093947,24.1438057
SB-25-SOM,2024-10-15 07:04:35+00:00,YMH42D,120L,Sibiu,Romania,Strada Pandurilor 15,1,45.8091053,24.1426427
SB-25-SOM,2024-10-15 07:05:04+00:00,DVRI,120L,Sibiu,Romania,Strada Eschile 31,1,45.8097612,24.1439228
SB-25-SOM,2024-10-15 07:05:19+00:00,Y3UO,120L,Sibiu,Romania,Strada Eschile 33,1,45.8098273,24.1439434
SB-25-SOM,2024-10-15 07:05:34+00:00,OBFG,120L,Sibiu,Romania,Strada Eschile 37,1,45.8100095,24.1440018
SB-25-SOM,2024-10-15 07:05:49+00:00,XYIKBN,120L,Sibiu,Romania,Strada Eschile 39,1,45.8101055,24.1440475
SB-25-SOM,2024-10-15 07:06:04+00:00,PKH6XW,120L,Sibiu,Romania,Strada Eschile 41,1,45.8102105,24.1440864
SB-25-SOM,2024-10-15 07:06:30+00:00,RW46BK,120L,Sibiu,Romania,Strada Eschile 43,1,45.8103094,24.144111
SB-25-SOM,2024-10-15 07:07:15+00:00,FX3V,120L,Sibiu,Romania,Strada Eschile 36,1,45.8104409,24.1443598
SB-25-SOM,2024-10-15 07:07:55+00:00,LTVP5I,120L,Sibiu,Romania,Strada Eschile 49,1,45.8106337,24.1442284
SB-25-SOM,2024-10-15 07:08:11+00:00,H2JM,120L,Sibiu,Romania,Strada Eschile 40,1,45.8106282,24.1444285
SB-25-SOM,2024-10-15 07:09:00+00:00,XJTO,120L,Sibiu,Romania,Strada Traian Demetrescu 142,1,45.8081751,24.1377637
SB-25-SOM,2024-10-15 07:09:32+00:00,BLI4,120L,Sibiu,Romania,Strada Florilor 38,1,45.8112625,24.1435165
SB-25-SOM,2024-10-15 07:09:58+00:00,GVTV,120L,Sibiu,Romania,Strada Florilor 36 A,1,45.8112005,24.1434158
SB-25-SOM,2024-10-15 07:10:40+00:00,2F2D,120L,Sibiu,Romania,Strada Florilor 30,1,45.8109268,24.1428495
SB-25-SOM,2024-10-15 07:11:36+00:00,IRA5,120L,Sibiu,Romania,Strada Florilor 22,1,45.8105809,24.1421494
SB-25-SOM,2024-10-15 07:11:37+00:00,WKDH,120L,Sibiu,Romania,Strada Florilor 23,1,45.8106635,24.1420136
SB-25-SOM,2024-10-15 07:13:23+00:00,ZYZM,120L,Sibiu,Romania,Strada Florilor 15,1,45.8104649,24.1416174
SB-25-SOM,2024-10-15 07:13:33+00:00,ZMUL,120L,Sibiu,Romania,Strada Florilor 18,1,45.8104351,24.1418748
SB-25-SOM,2024-10-15 07:14:21+00:00,5FWEQY,120L,Sibiu,Romania,Strada Florilor 13,1,45.8104067,24.1415056
SB-25-SOM,2024-10-15 07:14:33+00:00,4UZG,120L,Sibiu,Romania,Strada Florilor 11,1,45.8103683,24.1413964
SB-25-SOM,2024-10-15 07:15:11+00:00,B6P3GH,120L,Sibiu,Romania,Strada Florilor 12,1,45.810137,24.1413026
SB-25-SOM,2024-10-15 07:15:31+00:00,KGBR,120L,Sibiu,Romania,Strada Florilor 10,1,45.8100995,24.1411862
SB-25-SOM,2024-10-15 07:15:55+00:00,WAP3,120L,Sibiu,Romania,Strada Florilor 3,1,45.8100579,24.1407869
SB-25-SOM,2024-10-15 07:17:13+00:00,ISKIQT,120L,Sibiu,Romania,Strada Țiglarilor 67,1,45.8070514,24.1438063
SB-25-SOM,2024-10-15 07:17:47+00:00,H5JO,120L,Sibiu,Romania,Strada Țiglarilor 52,1,45.80939,24.1410512
SB-25-SOM,2024-10-15 07:19:04+00:00,RSVP,120L,Sibiu,Romania,Strada Crizantemelor 7,1,45.8339164,24.0484125
SB-25-SOM,2024-10-15 07:19:07+00:00,PBLT,120L,Sibiu,Romania,Strada Crizantemelor 8,1,45.8096089,24.142092
SB-25-SOM,2024-10-15 07:19:36+00:00,BGLZ,120L,Sibiu,Romania,Strada Crizantemelor 10,1,45.8096089,24.142092
SB-25-SOM,2024-10-15 07:19:48+00:00,PKMB,120L,Sibiu,Romania,Strada Crizantemelor 13,1,45.8096089,24.142092
SB-25-SOM,2024-10-15 07:20:16+00:00,WUKQ,120L,Sibiu,Romania,Strada Crizantemelor 12,1,45.8096089,24.142092
SB-25-SOM,2024-10-15 07:21:00+00:00,QLZATW,120L,Sibiu,Romania,Strada Crizantemelor 16,1,45.8096089,24.142092
SB-25-SOM,2024-10-15 07:21:06+00:00,75RA,120L,Sibiu,Romania,Strada Crizantemelor 17,1,45.8096089,24.142092
SB-25-SOM,2024-10-15 07:21:09+00:00,75RA,120L,Sibiu,Romania,Strada Crizantemelor 17,1,45.8096089,24.142092
SB-25-SOM,2024-10-15 07:21:16+00:00,6OIV,120L,Sibiu,Romania,Strada Crizantemelor 18,1,45.8096089,24.142092
