Address,lat,lon
"Strada Ștefan cel Mare 31 B, Sibiu, Romania",45.7889859,24.1773226
"Strada Ștefan cel Mare 35, Sibiu, Romania",45.7905019,24.1595291
"Strasa Fratii Grahi 6, Sibiu, Romania",,
"Strada Ștefan cel Mare 41, Sibiu, Romania",45.7904304,24.1603259
"Strada Ștefan cel Mare 20, Sibiu, Romania",45.7901813,24.1610923
"Strada Ștefan cel Mare 43, Sibiu, Romania",45.7903481,24.161846
"Strada Ștefan cel Mare 28, Sibiu, Romania",45.7900155,24.1618668
"Strada Ștefan cel Mare 45, Sibiu, Romania",45.7903515,24.1624354
"Strada Ștefan cel Mare 38, Sibiu, Romania",45.789997,24.1628207
"Strada Ștefan cel Mare 45 B, Sibiu, Romania",45.7897168,24.1691578
"Strada Ștefan cel Mare 48, Sibiu, Romania",46.1503404,24.3375248
"Strada Ștefan cel Mare 56, Sibiu, Romania",45.7898704,24.1649307
"Strada Ștefan cel Mare 60, Sibiu, Romania",45.7896959,24.1657584
"Strada Victor Hugo 5, Sibiu, Romania",45.7891881,24.1653596
"Strada Victor Hugo 9, Sibiu, Romania",45.7888982,24.1657074
"Strada Ștefan cel Mare 74, Sibiu, Romania",45.7896656,24.1680278
"Strada Ștefan cel Mare 80, Sibiu, Romania",45.7896271,24.1686875
"Strada Ștefan cel Mare 82, Sibiu, Romania",45.7886132,24.1755164
"Strada Ștefan cel Mare 86, Sibiu, Romania",45.7895886,24.1692996
"Strada Ștefan cel Mare 112, Sibiu, Romania",45.7892983,24.1732508
"Strada Ștefan cel Mare 120, Sibiu, Romania",45.7892819,24.173942
"Strada Triajului 16, Sibiu, Romania",45.7717678,24.1860797
"Strada Ștefan cel Mare 193, Sibiu, Romania",45.7893038,24.1890278
"Strada Ștefan cel Mare 191, Sibiu, Romania",45.7897168,24.1691578
"Strada Ludos 5, Sibiu, Romania",45.7680007,24.1286894
"Strada Ștefan cel Mare 152, Sibiu, Romania",45.7897168,24.1691578
"Strada Ștefan cel Mare 150, Sibiu, Romania",45.7886132,24.1755164
"Strada Rampa Ștefan cel Mare 152, Sibiu, Romania",,
"Strada Ștefan cel Mare 199, Sibiu, Romania",45.7897168,24.1691578
"Strada Ștefan cel Mare 169, Sibiu, Romania",45.7886132,24.1755164
"Strada Ștefan cel Mare 193B, Sibiu, Romania",45.7886132,24.1755164
"Strada Ștefan cel Mare 152-154, Sibiu, Romania",45.7897168,24.1691578
"Strada Caprelor 2, Sibiu, Romania",45.7891374,24.1843078
"Strada Ștefan cel Mare 147, Sibiu, Romania",45.788726,24.1833793
"Strada Ștefan cel Mare 137 B, Sibiu, Romania",45.7897168,24.1691578
"Strada Ștefan cel Mare 127, Sibiu, Romania",45.7895323,24.1739042
"Strada Ștefan cel Mare 125, Sibiu, Romania",45.7895541,24.1737722
"Strada Ștefan cel Mare 128, Sibiu, Romania",45.7891885,24.1745593
"Strada Ștefan cel Mare 135, Sibiu, Romania",45.7895183,24.1744876
"Strada Ștefan cel Mare 126 A, Sibiu, Romania",45.7893711,24.1744014
"Strada Pacii 2, Sibiu, Romania",46.1568111,24.3525023
"Strada Pacii 4, Sibiu, Romania",46.1598011,24.3536884
"Strada Ștefan cel Mare 137, Sibiu, Romania",45.7894648,24.1750976
"Strada Rampa Ștefan cel Mare 1, Sibiu, Romania",,
"Strada Ștefan cel Mare 1, Sibiu, Romania",45.7898874,24.1533586
"Strada Rampa Ștefan cel Mare 5, Sibiu, Romania",,
"Strada Rampa Ștefan cel Mare 8, Sibiu, Romania",,
"Strada Semaforului 2, Sibiu, Romania",45.7858849,24.1741667
"Strada Rampa Ștefan cel Mare 10, Sibiu, Romania",,
"Strada Ștefan cel Mare 119 A, Sibiu, Romania",45.7895692,24.1734044
"Strada Ștefan cel Mare 111, Sibiu, Romania",45.7896328,24.1724971
"Strada Ștefan cel Mare 99, Sibiu, Romania",45.7889859,24.1773226
"Strada Ștefan cel Mare 93, Sibiu, Romania",45.7897594,24.1707299
"Strada Ștefan cel Mare 77, Sibiu, Romania",45.7899014,24.1684336
"Strada Ștefan cel Mare 75, Sibiu, Romania",45.7899298,24.1682483
"Strada Ștefan cel Mare 75 B, Sibiu, Romania",45.7897168,24.1691578
"Strada Ștefan cel Mare 73, Sibiu, Romania",45.7899248,24.1680416
"Strada Ștefan cel Mare 57 A, Sibiu, Romania",45.7886132,24.1755164
"Strada Ștefan cel Mare 59, Sibiu, Romania",45.7900077,24.1666504
"Strada Ștefan cel Mare 55, Sibiu, Romania",45.7900349,24.1662325
"Strada Balea 37, Sibiu, Romania",45.7908375,24.163849
"Strada Diaconul Coresi 2, Sibiu, Romania",,
"Strada Diaconul Coresi 2 C, Sibiu, Romania",,
"Strada Diaconul Coresi 3, Sibiu, Romania",,
"Strada Diaconul Coresi 4, Sibiu, Romania",,
"Strada Axente Sever 37, Sibiu, Romania",45.7913281,24.1649137
"Strada Balea 35, Sibiu, Romania",45.7910074,24.1636668
"Strada Balea 33, Sibiu, Romania",45.7911166,24.1635244
"Strada Balea 25, Sibiu, Romania",45.7917207,24.1629188
"Strada Balea 19, Sibiu, Romania",45.7921884,24.162445
"Strada Balea 11, Sibiu, Romania",45.7926588,24.161723
"Strada Balea 7, Sibiu, Romania",45.7929568,24.1614391
"Strada Balea 3, Sibiu, Romania",45.7931761,24.1611357
"Strada Bâlea 8, Sibiu, Romania",45.7315472,24.3858374
"Strada Balea 12, Sibiu, Romania",45.7916996,24.1623549
"Strada Spartacus 13, Sibiu, Romania",45.7908255,24.162386
"Strada Spartacus 13 A, Sibiu, Romania",45.7908255,24.162386
"Strada Spartacus 15, Sibiu, Romania",45.7908255,24.162386
"Strada Balea 2, Sibiu, Romania",45.7314042,24.3854922
"Strada Constantin Noica 2, Sibiu, Romania",45.7898783,24.1525323
"Strada Constantin Noica 3, Sibiu, Romania",45.7929869,24.1596219
"Strada Constantin Noica 8, Sibiu, Romania",45.792954,24.1583762
