uid,Id,Capacity,day,simulated_fill_level
0,O5AHDP,1.100L,0,51.0
0,O5AHDP,1.100L,-1,41.83401934754017
0,O5AHDP,1.100L,-2,35.688394543229435
0,O5AHDP,1.100L,-3,29.874622032856845
0,O5AHDP,1.100L,-4,22.558104648882452
0,O5AHDP,1.100L,-5,15.604449470663967
0,O5AHDP,1.100L,-6,8.08307672048301
0,O5AHDP,1.100L,-7,0.0
0,O5AHDP,1.100L,-8,0.0
0,O5AHDP,1.100L,-9,0.0
0,O5AHDP,1.100L,-10,0.0
0,O5AHDP,1.100L,-11,0.0
0,O5AHDP,1.100L,-12,0.0
0,O5AHDP,1.100L,-13,0.0
0,O5AHDP,1.100L,-14,0.0
0,O5AHDP,1.100L,-15,0.0
0,O5AHDP,1.100L,-16,0.0
0,O5AHDP,1.100L,-17,0.0
0,O5AHDP,1.100L,-18,0.0
0,O5AHDP,1.100L,-19,0.0
0,O5AHDP,1.100L,-20,0.0
0,O5AHDP,1.100L,-21,0.0
0,O5AHDP,1.100L,-22,0.0
0,O5AHDP,1.100L,-23,0.0
0,O5AHDP,1.100L,-24,0.0
0,O5AHDP,1.100L,-25,0.0
0,O5AHDP,1.100L,-26,0.0
0,O5AHDP,1.100L,-27,0.0
0,O5AHDP,1.100L,-28,0.0
0,O5AHDP,1.100L,-29,0.0
1,O5AHDP,1.100L,0,92.0
1,O5AHDP,1.100L,-1,84.41559401722608
1,O5AHDP,1.100L,-2,75.01976379532545
1,O5AHDP,1.100L,-3,67.62107146474747
1,O5AHDP,1.100L,-4,55.906427826923874
1,O5AHDP,1.100L,-5,51.301664889457015
1,O5AHDP,1.100L,-6,45.82731011964542
1,O5AHDP,1.100L,-7,35.929768325041046
1,O5AHDP,1.100L,-8,24.824172539962518
1,O5AHDP,1.100L,-9,15.85748777352826
1,O5AHDP,1.100L,-10,9.057498958385882
1,O5AHDP,1.100L,-11,1.5895884509182983
1,O5AHDP,1.100L,-12,0.0
1,O5AHDP,1.100L,-13,0.0
1,O5AHDP,1.100L,-14,0.0
1,O5AHDP,1.100L,-15,0.0
1,O5AHDP,1.100L,-16,0.0
1,O5AHDP,1.100L,-17,0.0
1,O5AHDP,1.100L,-18,0.0
1,O5AHDP,1.100L,-19,0.0
1,O5AHDP,1.100L,-20,0.0
1,O5AHDP,1.100L,-21,0.0
1,O5AHDP,1.100L,-22,0.0
1,O5AHDP,1.100L,-23,0.0
1,O5AHDP,1.100L,-24,0.0
1,O5AHDP,1.100L,-25,0.0
1,O5AHDP,1.100L,-26,0.0
1,O5AHDP,1.100L,-27,0.0
1,O5AHDP,1.100L,-28,0.0
1,O5AHDP,1.100L,-29,0.0
2,NH7XHL,1.100L,0,14.0
2,NH7XHL,1.100L,-1,4.510252300325641
2,NH7XHL,1.100L,-2,0.0
2,NH7XHL,1.100L,-3,0.0
2,NH7XHL,1.100L,-4,0.0
2,NH7XHL,1.100L,-5,0.0
2,NH7XHL,1.100L,-6,0.0
2,NH7XHL,1.100L,-7,0.0
2,NH7XHL,1.100L,-8,0.0
2,NH7XHL,1.100L,-9,0.0
2,NH7XHL,1.100L,-10,0.0
2,NH7XHL,1.100L,-11,0.0
2,NH7XHL,1.100L,-12,0.0
2,NH7XHL,1.100L,-13,0.0
2,NH7XHL,1.100L,-14,0.0
2,NH7XHL,1.100L,-15,0.0
2,NH7XHL,1.100L,-16,0.0
2,NH7XHL,1.100L,-17,0.0
2,NH7XHL,1.100L,-18,0.0
2,NH7XHL,1.100L,-19,0.0
2,NH7XHL,1.100L,-20,0.0
2,NH7XHL,1.100L,-21,0.0
2,NH7XHL,1.100L,-22,0.0
2,NH7XHL,1.100L,-23,0.0
2,NH7XHL,1.100L,-24,0.0
2,NH7XHL,1.100L,-25,0.0
2,NH7XHL,1.100L,-26,0.0
2,NH7XHL,1.100L,-27,0.0
2,NH7XHL,1.100L,-28,0.0
2,NH7XHL,1.100L,-29,0.0
3,HPDZUE,1.100L,0,71.0
3,HPDZUE,1.100L,-1,66.48904633548997
3,HPDZUE,1.100L,-2,60.181963883359835
3,HPDZUE,1.100L,-3,55.41627782575827
3,HPDZUE,1.100L,-4,49.27264117228135
3,HPDZUE,1.100L,-5,38.67977804297172
3,HPDZUE,1.100L,-6,31.173684602281384
3,HPDZUE,1.100L,-7,22.79294235935205
3,HPDZUE,1.100L,-8,16.64630960661117
3,HPDZUE,1.100L,-9,9.15200024824031
3,HPDZUE,1.100L,-10,0.0
3,HPDZUE,1.100L,-11,0.0
3,HPDZUE,1.100L,-12,0.0
3,HPDZUE,1.100L,-13,0.0
3,HPDZUE,1.100L,-14,0.0
3,HPDZUE,1.100L,-15,0.0
3,HPDZUE,1.100L,-16,0.0
3,HPDZUE,1.100L,-17,0.0
3,HPDZUE,1.100L,-18,0.0
3,HPDZUE,1.100L,-19,0.0
3,HPDZUE,1.100L,-20,0.0
3,HPDZUE,1.100L,-21,0.0
3,HPDZUE,1.100L,-22,0.0
3,HPDZUE,1.100L,-23,0.0
3,HPDZUE,1.100L,-24,0.0
3,HPDZUE,1.100L,-25,0.0
3,HPDZUE,1.100L,-26,0.0
3,HPDZUE,1.100L,-27,0.0
3,HPDZUE,1.100L,-28,0.0
3,HPDZUE,1.100L,-29,0.0
4,BNY3U5,120L,0,60.0
4,BNY3U5,120L,-1,55.02859021337074
4,BNY3U5,120L,-2,49.67467979217149
4,BNY3U5,120L,-3,47.296687088088966
4,BNY3U5,120L,-4,42.35775485486662
4,BNY3U5,120L,-5,37.60029846035812
4,BNY3U5,120L,-6,33.85058437288199
4,BNY3U5,120L,-7,29.971369712126165
4,BNY3U5,120L,-8,25.579649513991885
4,BNY3U5,120L,-9,18.500110702123763
4,BNY3U5,120L,-10,14.26356773332168
4,BNY3U5,120L,-11,9.832386573060697
4,BNY3U5,120L,-12,4.763430921804183
4,BNY3U5,120L,-13,0.27781478010235117
4,BNY3U5,120L,-14,0.0
4,BNY3U5,120L,-15,0.4285087725828709
4,BNY3U5,120L,-16,0.0
4,BNY3U5,120L,-17,0.0
4,BNY3U5,120L,-18,0.0
4,BNY3U5,120L,-19,0.0
4,BNY3U5,120L,-20,0.0
4,BNY3U5,120L,-21,0.0
4,BNY3U5,120L,-22,0.0
4,BNY3U5,120L,-23,0.0
4,BNY3U5,120L,-24,0.0
4,BNY3U5,120L,-25,0.0
4,BNY3U5,120L,-26,0.0
4,BNY3U5,120L,-27,0.0
4,BNY3U5,120L,-28,0.0
4,BNY3U5,120L,-29,0.0
5,J4LA,120L,0,20.0
5,J4LA,120L,-1,19.51450603875545
5,J4LA,120L,-2,13.097244701685163
5,J4LA,120L,-3,8.638011996851624
5,J4LA,120L,-4,6.75709927144813
5,J4LA,120L,-5,5.606082952858851
5,J4LA,120L,-6,1.570008462439704
5,J4LA,120L,-7,0.0
5,J4LA,120L,-8,0.0
5,J4LA,120L,-9,0.0
5,J4LA,120L,-10,0.0
5,J4LA,120L,-11,0.0
5,J4LA,120L,-12,0.0
5,J4LA,120L,-13,0.0
5,J4LA,120L,-14,0.0
5,J4LA,120L,-15,0.0
5,J4LA,120L,-16,0.0
5,J4LA,120L,-17,0.0
5,J4LA,120L,-18,0.0
5,J4LA,120L,-19,0.0
5,J4LA,120L,-20,0.0
5,J4LA,120L,-21,0.0
5,J4LA,120L,-22,0.0
5,J4LA,120L,-23,0.0
5,J4LA,120L,-24,0.0
5,J4LA,120L,-25,0.0
5,J4LA,120L,-26,0.0
5,J4LA,120L,-27,0.0
5,J4LA,120L,-28,0.0
5,J4LA,120L,-29,0.0
6,HLQKX5,1.100L,0,82.0
6,HLQKX5,1.100L,-1,71.97191140089014
6,HLQKX5,1.100L,-2,61.25202150832435
6,HLQKX5,1.100L,-3,54.31806938033407
6,HLQKX5,1.100L,-4,48.12212791624117
6,HLQKX5,1.100L,-5,42.756669212116776
6,HLQKX5,1.100L,-6,31.95218039054577
6,HLQKX5,1.100L,-7,21.7371443485045
6,HLQKX5,1.100L,-8,13.525803249840848
6,HLQKX5,1.100L,-9,5.296042480551957
6,HLQKX5,1.100L,-10,0.03349399190592095
6,HLQKX5,1.100L,-11,0.0
6,HLQKX5,1.100L,-12,0.0
6,HLQKX5,1.100L,-13,0.0
6,HLQKX5,1.100L,-14,0.0
6,HLQKX5,1.100L,-15,0.0
6,HLQKX5,1.100L,-16,0.0
6,HLQKX5,1.100L,-17,0.0
6,HLQKX5,1.100L,-18,0.0
6,HLQKX5,1.100L,-19,0.0
6,HLQKX5,1.100L,-20,0.0
6,HLQKX5,1.100L,-21,0.0
6,HLQKX5,1.100L,-22,0.0
6,HLQKX5,1.100L,-23,0.0
6,HLQKX5,1.100L,-24,0.0
6,HLQKX5,1.100L,-25,0.0
6,HLQKX5,1.100L,-26,0.0
6,HLQKX5,1.100L,-27,0.0
6,HLQKX5,1.100L,-28,0.0
6,HLQKX5,1.100L,-29,0.0
7,MO25A3,1.100L,0,86.0
7,MO25A3,1.100L,-1,77.98913449022726
7,MO25A3,1.100L,-2,68.82362663527364
7,MO25A3,1.100L,-3,63.10334482466778
7,MO25A3,1.100L,-4,54.59968967353112
7,MO25A3,1.100L,-5,47.583622972046626
7,MO25A3,1.100L,-6,40.23751230274094
7,MO25A3,1.100L,-7,30.79151645735983
7,MO25A3,1.100L,-8,19.587832234360015
7,MO25A3,1.100L,-9,10.876366843740172
7,MO25A3,1.100L,-10,3.2503866783188524
7,MO25A3,1.100L,-11,0.0
7,MO25A3,1.100L,-12,0.0
7,MO25A3,1.100L,-13,0.0
7,MO25A3,1.100L,-14,0.0
7,MO25A3,1.100L,-15,0.0
7,MO25A3,1.100L,-16,0.0
7,MO25A3,1.100L,-17,0.0
7,MO25A3,1.100L,-18,0.0
7,MO25A3,1.100L,-19,0.0
7,MO25A3,1.100L,-20,0.0
7,MO25A3,1.100L,-21,0.0
7,MO25A3,1.100L,-22,0.0
7,MO25A3,1.100L,-23,0.0
