Car,Datetime,Id,Capacity,Street,Number,City,Country
SB-25-SOM,2024-10-15T06:14:38.000Z,O5AHDP,1.100L,Calea Șurii Mari,39 B,Sibiu,Romania
SB-25-SOM,2024-10-15T06:19:38.000Z,O5AHDP,1.100L,Calea Șurii Mari,39 B,Sibiu,Romania
SB-25-SOM,2024-10-15T06:32:00.000Z,NH7XHL,1.100L,Calea Șurii Mari,39,Sibiu,Romania
SB-25-SOM,2024-10-15T06:38:19.000Z,HPDZUE,1.100L,Strada Căprioarelor,1,Sibiu,Romania
SB-25-SOM,2024-10-15T06:46:41.000Z,BNY3U5,120L,Strada Lungă,71,Sibiu,Romania
SB-25-SOM,2024-10-15T06:50:03.000Z,J4LA,120L,Strada Țiglarilor,10,Sibiu,Romania
SB-25-SOM,2024-10-15T06:51:53.000Z,HLQKX5,1.100L,Strada Țiglarilor,12,Sibiu,Romania
SB-25-SOM,2024-10-15T06:52:15.000Z,MO25A3,1.100L,Strada Țiglarilor,12,Sibiu,Romania
SB-25-SOM,2024-10-15T06:52:47.000Z,OVR7LU,1.100L,Strada Țiglarilor,12,Sibiu,Romania
SB-25-SOM,2024-10-15T06:54:43.000Z,M4FF,240L,Strada Țiglarilor,20,Sibiu,Romania
SB-25-SOM,2024-10-15T06:55:18.000Z,MNQ5,120L,Strada Țiglarilor,24,Sibiu,Romania
SB-25-SOM,2024-10-15T06:55:51.000Z,R2LY,120L,Strada Țiglarilor,28,Sibiu,Romania
SB-25-SOM,2024-10-15T06:56:30.000Z,AGGC,120L,Strada Eschile,3,Sibiu,Romania
SB-25-SOM,2024-10-15T06:58:07.000Z,3WT5,1.100L,Strada Eschile,6,Sibiu,Romania
SB-25-SOM,2024-10-15T06:58:39.000Z,EXDE,1.100L,Strada Eschile,6,Sibiu,Romania
SB-25-SOM,2024-10-15T07:01:56.000Z,RSUZ,120L,Strada Eschile,12,Sibiu,Romania
SB-25-SOM,2024-10-15T07:02:21.000Z,ICLYI5,120L,Strada Eschile,15,Sibiu,Romania
SB-25-SOM,2024-10-15T07:02:36.000Z,FZRC,120L,Strada Eschile,17,Sibiu,Romania
SB-25-SOM,2024-10-15T07:03:39.000Z,QO42KH,120L,Strada Eschile,22,Sibiu,Romania
SB-25-SOM,2024-10-15T07:04:30.000Z,L5FA,120L,Strada Eschile,25,Sibiu,Romania
SB-25-SOM,2024-10-15T07:04:35.000Z,YMH42D,120L,Strada Pandurilor,15,Sibiu,Romania
SB-25-SOM,2024-10-15T07:05:04.000Z,DVRI,120L,Strada Eschile,31,Sibiu,Romania
SB-25-SOM,2024-10-15T07:05:19.000Z,Y3UO,120L,Strada Eschile,33,Sibiu,Romania
SB-25-SOM,2024-10-15T07:05:34.000Z,OBFG,120L,Strada Eschile,37,Sibiu,Romania
SB-25-SOM,2024-10-15T07:05:49.000Z,XYIKBN,120L,Strada Eschile,39,Sibiu,Romania
SB-25-SOM,2024-10-15T07:06:04.000Z,PKH6XW,120L,Strada Eschile,41,Sibiu,Romania
SB-25-SOM,2024-10-15T07:06:30.000Z,RW46BK,120L,Strada Eschile,43,Sibiu,Romania
SB-25-SOM,2024-10-15T07:07:15.000Z,FX3V,120L,Strada Eschile,36,Sibiu,Romania
SB-25-SOM,2024-10-15T07:07:55.000Z,LTVP5I,120L,Strada Eschile,49,Sibiu,Romania
SB-25-SOM,2024-10-15T07:08:11.000Z,H2JM,120L,Strada Eschile,40,Sibiu,Romania
SB-25-SOM,2024-10-15T07:09:00.000Z,XJTO,120L,Strada Traian Demetrescu,142,Sibiu,Romania
SB-25-SOM,2024-10-15T07:09:32.000Z,BLI4,120L,Strada Florilor,38,Sibiu,Romania
SB-25-SOM,2024-10-15T07:09:58.000Z,GVTV,120L,Strada Florilor,36 A,Sibiu,Romania
SB-25-SOM,2024-10-15T07:10:40.000Z,2F2D,120L,Strada Florilor,30,Sibiu,Romania
SB-25-SOM,2024-10-15T07:11:36.000Z,IRA5,120L,Strada Florilor,22,Sibiu,Romania
SB-25-SOM,2024-10-15T07:11:37.000Z,WKDH,120L,Strada Florilor,23,Sibiu,Romania
SB-25-SOM,2024-10-15T07:13:23.000Z,ZYZM,120L,Strada Florilor,15,Sibiu,Romania
SB-25-SOM,2024-10-15T07:13:33.000Z,ZMUL,120L,Strada Florilor,18,Sibiu,Romania
SB-25-SOM,2024-10-15T07:14:21.000Z,5FWEQY,120L,Strada Florilor,13,Sibiu,Romania
SB-25-SOM,2024-10-15T07:14:33.000Z,4UZG,120L,Strada Florilor,11,Sibiu,Romania
SB-25-SOM,2024-10-15T07:15:11.000Z,B6P3GH,120L,Strada Florilor,12,Sibiu,Romania
SB-25-SOM,2024-10-15T07:15:31.000Z,KGBR,120L,Strada Florilor,10,Sibiu,Romania
SB-25-SOM,2024-10-15T07:15:55.000Z,WAP3,120L,Strada Florilor,3,Sibiu,Romania
SB-25-SOM,2024-10-15T07:17:13.000Z,ISKIQT,120L,Strada Țiglarilor,67,Sibiu,Romania
SB-25-SOM,2024-10-15T07:17:47.000Z,H5JO,120L,Strada Țiglarilor,52,Sibiu,Romania
SB-25-SOM,2024-10-15T07:19:04.000Z,RSVP,120L,Strada Crizantemelor,7,Sibiu,Romania
SB-25-SOM,2024-10-15T07:19:07.000Z,PBLT,120L,Strada Crizantemelor,8,Sibiu,Romania
SB-25-SOM,2024-10-15T07:19:36.000Z,BGLZ,120L,Strada Crizantemelor,10,Sibiu,Romania
SB-25-SOM,2024-10-15T07:19:48.000Z,PKMB,120L,Strada Crizantemelor,13,Sibiu,Romania
SB-25-SOM,2024-10-15T07:20:16.000Z,WUKQ,120L,Strada Crizantemelor,12,Sibiu,Romania
SB-25-SOM,2024-10-15T07:21:00.000Z,QLZATW,120L,Strada Crizantemelor,16,Sibiu,Romania
SB-25-SOM,2024-10-15T07:21:06.000Z,75RA,120L,Strada Crizantemelor,17,Sibiu,Romania
SB-25-SOM,2024-10-15T07:21:09.000Z,75RA,120L,Strada Crizantemelor,17,Sibiu,Romania
SB-25-SOM,2024-10-15T07:21:16.000Z,6OIV,120L,Strada Crizantemelor,18,Sibiu,Romania
SB-25-SOM,2024-10-15T07:21:32.000Z,5KON,120L,Strada Crizantemelor,19,Sibiu,Romania
SB-25-SOM,2024-10-15T07:21:47.000Z,L7GY,120L,Strada Crizantemelor,21,Sibiu,Romania
SB-25-SOM,2024-10-15T07:22:17.000Z,A4FK,120L,Strada Lăcrămioarelor,8,Sibiu,Romania
SB-25-SOM,2024-10-15T07:22:26.000Z,AJ2FQV,120L,Strada Lăcrămioarelor,10,Sibiu,Romania
