Car,Datetime,Id,Capacity,Street,Number,City,Country
SB-25-SOM,2024-10-15 06:14:38+00:00,O5AHDP,1.100L,Calea Șurii Mari,39 B,Sibiu,Romania
SB-25-SOM,2024-10-15 06:19:38+00:00,O5AHDP,1.100L,Calea Șurii Mari,39 B,Sibiu,Romania
SB-25-SOM,2024-10-15 06:32:00+00:00,NH7XHL,1.100L,Calea Șurii Mari,39,Sibiu,Romania
SB-25-SOM,2024-10-15 06:38:19+00:00,HPDZUE,1.100L,Strada Căprioarelor,1,Sibiu,Romania
SB-25-SOM,2024-10-15 06:46:41+00:00,BNY3U5,120L,Strada Lungă,71,Sibiu,Romania
SB-25-SOM,2024-10-15 06:50:03+00:00,J4LA,120L,Strada Țiglarilor,10,Sibiu,Romania
SB-25-SOM,2024-10-15 06:51:53+00:00,HLQKX5,1.100L,Strada Țiglarilor,12,Sibiu,Romania
SB-25-SOM,2024-10-15 06:52:15+00:00,MO25A3,1.100L,Strada Țiglarilor,12,Sibiu,Romania
SB-25-SOM,2024-10-15 06:52:47+00:00,OVR7LU,1.100L,Strada Țiglarilor,12,Sibiu,Romania
SB-25-SOM,2024-10-15 06:54:43+00:00,M4FF,240L,Strada Țiglarilor,20,Sibiu,Romania
SB-25-SOM,2024-10-15 06:55:18+00:00,MNQ5,120L,Strada Țiglarilor,24,Sibiu,Romania
SB-25-SOM,2024-10-15 06:55:51+00:00,R2LY,120L,Strada Țiglarilor,28,Sibiu,Romania
SB-25-SOM,2024-10-15 06:56:30+00:00,AGGC,120L,Strada Eschile,3,Sibiu,Romania
SB-25-SOM,2024-10-15 06:58:07+00:00,3WT5,1.100L,Strada Eschile,6,Sibiu,Romania
SB-25-SOM,2024-10-15 06:58:39+00:00,EXDE,1.100L,Strada Eschile,6,Sibiu,Romania
SB-25-SOM,2024-10-15 07:01:56+00:00,RSUZ,120L,Strada Eschile,12,Sibiu,Romania
SB-25-SOM,2024-10-15 07:02:21+00:00,ICLYI5,120L,Strada Eschile,15,Sibiu,Romania
SB-25-SOM,2024-10-15 07:02:36+00:00,FZRC,120L,Strada Eschile,17,Sibiu,Romania
SB-25-SOM,2024-10-15 07:03:39+00:00,QO42KH,120L,Strada Eschile,22,Sibiu,Romania
SB-25-SOM,2024-10-15 07:04:30+00:00,L5FA,120L,Strada Eschile,25,Sibiu,Romania
SB-25-SOM,2024-10-15 07:04:35+00:00,YMH42D,120L,Strada Pandurilor,15,Sibiu,Romania
SB-25-SOM,2024-10-15 07:05:04+00:00,DVRI,120L,Strada Eschile,31,Sibiu,Romania
SB-25-SOM,2024-10-15 07:05:19+00:00,Y3UO,120L,Strada Eschile,33,Sibiu,Romania
SB-25-SOM,2024-10-15 07:05:34+00:00,OBFG,120L,Strada Eschile,37,Sibiu,Romania
