key,Id,route_id,Capacity,day,fill_level
0,O5AHDP,1,1.100L,-29,3.3
0,O5AHDP,1,1.100L,-28,12.7
0,O5AHDP,1,1.100L,-27,17.5
0,O5AHDP,1,1.100L,-26,27.6
0,O5AHDP,1,1.100L,-25,38.8
0,O5AHDP,1,1.100L,-24,47.2
0,O5AHDP,1,1.100L,-23,56.8
0,O5AHDP,1,1.100L,-22,64.6
0,O5AHDP,1,1.100L,-21,76.3
0,O5AHDP,1,1.100L,-20,85.3
0,O5AHDP,1,1.100L,-19,93.3
0,O5AHDP,1,1.100L,-18,4.0
0,O5AHDP,1,1.100L,-17,12.1
0,O5AHDP,1,1.100L,-16,19.2
0,O5AHDP,1,1.100L,-15,30.1
0,O5AHDP,1,1.100L,-14,37.2
0,O5AHDP,1,1.100L,-13,49.1
0,O5AHDP,1,1.100L,-12,56.8
0,O5AHDP,1,1.100L,-11,65.7
0,O5AHDP,1,1.100L,-10,74.0
0,O5AHDP,1,1.100L,-9,86.0
0,O5AHDP,1,1.100L,-8,93.0
0,O5AHDP,1,1.100L,-7,1.7
0,O5AHDP,1,1.100L,-6,10.9
0,O5AHDP,1,1.100L,-5,21.3
0,O5AHDP,1,1.100L,-4,30.2
0,O5AHDP,1,1.100L,-3,39.3
0,O5AHDP,1,1.100L,-2,48.5
0,O5AHDP,1,1.100L,-1,60.1
0,O5AHDP,1,1.100L,0,65.4
1,O5AHDP,1,1.100L,-29,31.0
1,O5AHDP,1,1.100L,-28,40.4
1,O5AHDP,1,1.100L,-27,48.5
1,O5AHDP,1,1.100L,-26,53.9
1,O5AHDP,1,1.100L,-25,60.2
1,O5AHDP,1,1.100L,-24,67.5
1,O5AHDP,1,1.100L,-23,77.0
1,O5AHDP,1,1.100L,-22,84.4
1,O5AHDP,1,1.100L,-21,91.4
1,O5AHDP,1,1.100L,-20,96.9
1,O5AHDP,1,1.100L,-19,5.6
1,O5AHDP,1,1.100L,-18,12.7
1,O5AHDP,1,1.100L,-17,20.2
1,O5AHDP,1,1.100L,-16,28.5
1,O5AHDP,1,1.100L,-15,34.8
1,O5AHDP,1,1.100L,-14,42.8
1,O5AHDP,1,1.100L,-13,49.2
1,O5AHDP,1,1.100L,-12,56.8
1,O5AHDP,1,1.100L,-11,64.6
1,O5AHDP,1,1.100L,-10,68.8
1,O5AHDP,1,1.100L,-9,77.8
1,O5AHDP,1,1.100L,-8,84.9
1,O5AHDP,1,1.100L,-7,91.9
1,O5AHDP,1,1.100L,-6,0.0
1,O5AHDP,1,1.100L,-5,9.7
1,O5AHDP,1,1.100L,-4,13.5
